Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
mismatch_score;smith_waterman.c;9;1.2237756252288818;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;1.7621872425079346;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;0.7118470668792725;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;0.7027847766876221;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.3052256107330322;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.4234094619750977;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.3772997856140137;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;0.9255592823028564;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;1.66986083984375;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;2.778503656387329;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;0.73714280128479;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;2.358354091644287;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;3.816894292831421;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.8549997806549072;0-6;Double bit-flip;1
gap_score2;smith_waterman.c;12;2.09804630279541;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.3682758808135986;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.583470344543457;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.2784128189086914;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;1.5681462287902832;0-6;Double bit-flip;1
mismatch_score;smith_waterman.c;9;4.090545177459717;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.6777887344360352;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.2212650775909424;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.3487253189086914;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;4.592501401901245;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.3800535202026367;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.1816699504852295;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.4545135498046875;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;2.566066265106201;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;3.8583474159240723;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.689455986022949;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;2.568502187728882;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.369961738586426;0-6;Double bit-flip;1
i;smith_waterman.c;168;1.1319823265075684;0-6;Double bit-flip;1
match_score2;smith_waterman.c;8;1.5398998260498047;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;2.6814303398132324;0-6;Double bit-flip;1
mismatch_score2;smith_waterman.c;10;5.077438831329346;0-6;Double bit-flip;1
match_score;smith_waterman.c;7;1.2019996643066406;0-6;Double bit-flip;1
gap_score;smith_waterman.c;11;1.7653703689575195;0-6;Double bit-flip;1
